trace_id,loss,accuracy,auc_2
3,0.15855062007904053,0.9701393246650696,0.5450819730758667
1,0.15855062007904053,0.9701393246650696,0.5450819730758667
3,0.1613778918981552,0.9701393246650696,0.5515562891960144
1,0.1613778918981552,0.9701393246650696,0.5515562891960144
3,0.1405806988477707,0.9701393246650696,0.5420167446136475
1,0.1405806988477707,0.9701393246650696,0.5420167446136475
3,0.15527616441249847,0.9701393246650696,0.5363293886184692
1,0.15527616441249847,0.9701393246650696,0.5363293886184692
3,0.16194719076156616,0.9701393246650696,0.5477107763290405
1,0.16194719076156616,0.9701393246650696,0.5477107763290405
3,0.14096157252788544,0.9701393246650696,0.5421340465545654
1,0.14096157252788544,0.9701393246650696,0.5421340465545654
3,0.14004501700401306,0.9701393246650696,0.5403159856796265
1,0.14004501700401306,0.9701393246650696,0.5403159856796265
3,0.16361308097839355,0.9701393246650696,0.5447104573249817
1,0.16361308097839355,0.9701393246650696,0.5447104573249817
3,0.164140984416008,0.9701393246650696,0.5432039499282837
1,0.164140984416008,0.9701393246650696,0.5432039499282837
3,0.14032772183418274,0.9701393246650696,0.551131546497345
1,0.14032772183418274,0.9701393246650696,0.551131546497345
3,0.1574804037809372,0.9701393246650696,0.5416096448898315
1,0.1574804037809372,0.9701393246650696,0.5416096448898315
3,0.15669547021389008,0.9701393246650696,0.5385562181472778
1,0.15669547021389008,0.9701393246650696,0.5385562181472778
3,0.1443372368812561,0.9701393246650696,0.542919397354126
1,0.1443372368812561,0.9701393246650696,0.542919397354126
3,0.1558290719985962,0.9701393246650696,0.541078507900238
1,0.1558290719985962,0.9701393246650696,0.541078507900238
3,0.15332289040088654,0.9701393246650696,0.549629271030426
1,0.15332289040088654,0.9701393246650696,0.549629271030426
