  ,iteration ,epoch ,fog_node ,device ,loss                ,accuracy           ,auc                ,false_negatives ,false_positives ,true_negatives ,true_positives
0 ,0         ,0     ,0        ,0      ,0.4214617609977722  ,0.7965385317802429 ,0.8218717575073242 ,3963.0          ,1668.0          ,19352.0        ,2693.0
1 ,0         ,-1    ,0        ,0      ,0.433582067489624   ,0.7626945376396179 ,0.876387357711792  ,196.0           ,963.0           ,2736.0         ,989.0
2 ,1         ,0     ,0        ,0      ,0.3745623528957367  ,0.8234571218490601 ,0.8457834124565125 ,7134.0          ,3383.0          ,38657.0        ,6178.0
3 ,1         ,-1    ,0        ,0      ,0.36077407002449036 ,0.8249385952949524 ,0.8838825225830078 ,648.0           ,207.0           ,3492.0         ,537.0
